"Provider","EventId","MarketId","SelectionId","MarketType","Handicap","BetType","EventName","MarketName","StartTime"
"sentrybot","35380355","1.255420015","26550122","ASIAN_HANDICAP","0","BACK","Al-Nasr Dubai v Al Bataeh","Asian Handicap","2026-03-18 17:30:00"
"sentrybot","35361597","1.255472903","25607","MATCH_ODDS","0","BACK","Carolina Hurricanes v Pittsburgh Penguins","Moneyline","2026-03-18 23:00:00"
"sentrybot","35361593","1.255472937","2294077","MATCH_ODDS","0","BACK","Anaheim Ducks v Philadelphia Flyers","Moneyline","2026-03-19 02:00:00"
"sentrybot","35378025","1.255379680","5363620","MATCH_ODDS","0","BACK","Rubio Nu v Cerro Porteno","Match Odds","2026-03-18 21:30:00"
"sentrybot","35376487","1.255489375","6500320","MATCH_ODDS","0","BACK","Brooklyn Nets v Oklahoma City Thunder","Moneyline","2026-03-18 23:30:00"
"sentrybot","35381299","1.255433495","3725113","MATCH_ODDS","0","BACK","Al-Ahli v Al-Hilal","Match Odds","2026-03-18 19:00:00"
"sentrybot","35361594","1.255472599","25602","MATCH_ODDS","0","BACK","Colorado Avalanche v Dallas Stars","Moneyline","2026-03-19 01:30:00"
"sentrybot","35375925","1.255344194","3806543","MATCH_ODDS","0","BACK","Vila Nova v Confianca","Match Odds","2026-03-18 22:00:00"
"sentrybot","35369737","1.255256905","17790476","MATCH_ODDS","0","BACK","Inter Miami v Nashville SC","Match Odds","2026-03-18 23:00:00"
"sentrybot","35368430","1.255242162","11302836","MATCH_ODDS","0","BACK","Palmeiras v Botafogo FR RJ","Match Odds","2026-03-18 22:00:00"
"sentrybot","35369753","1.255257302","816112","MATCH_ODDS","0","BACK","Atletico Bucaramanga v Once Caldas","Match Odds","2026-03-19 00:30:00"
"sentrybot","35369702","1.255261162","94680813","MATCH_ODDS","0","BACK","Internacional de Bogota v Deportivo Pereira","Match Odds","2026-03-18 23:20:00"
"sentrybot","35368540","1.255245554","5851482","FIRST_HALF_GOALS","0","BACK","Vasco da Gama v Fluminense","First Half Goals 0.5","2026-03-19 00:30:00"
"sentrybot","35369741","1.255260588","79351400","MATCH_ODDS","0","BACK","Deportivo Toluca v San Diego FC","Match Odds","2026-03-19 03:00:00"
"sentrybot","35383727","1.255458216","198141","MATCH_ODDS","0","BACK","Mirassol v Coritiba","Match Odds","2026-03-18 23:00:00"
"sentrybot","35368516","1.255244325","361329","MATCH_ODDS","0","BACK","Atletico Mineiro v Sao Paulo","Match Odds","2026-03-18 23:00:00"
"sentrybot","35375927","1.255343998","5326988","MATCH_ODDS","0","BACK","Atletico Goianiense v Ponte Preta","Match Odds","2026-03-18 23:00:00"
"sentrybot","35368580","1.255245740","198127","MATCH_ODDS","0","BACK","Santos v Internacional","Match Odds","2026-03-19 00:30:00"
"sentrybot","35368540","1.255245544","198124","MATCH_ODDS","0","BACK","Vasco da Gama v Fluminense","Match Odds","2026-03-19 00:30:00"
"sentrybot","35369753","1.255257302","7227021","MATCH_ODDS","0","BACK","Atletico Bucaramanga v Once Caldas","Match Odds","2026-03-19 00:30:00"
"sentrybot","35368580","1.255245740","198137","MATCH_ODDS","0","BACK","Santos v Internacional","Match Odds","2026-03-19 00:30:00"
"sentrybot","35369699","1.255256611","328690","MATCH_ODDS","0","BACK","Deportivo Cali v Independiente Santa Fe","Match Odds","2026-03-19 01:30:00"
"sentrybot","35367129","1.255225476","508789","MATCH_ODDS","0","BACK","Kayserispor v Karagumruk","Match Odds","2026-03-19 13:00:00"
"sentrybot","35387914","1.255514249","63566922","ASIAN_HANDICAP","0","BACK","Goyang Skygunners v KCC Egis","Handicap","2026-03-19 10:00:00"
"sentrybot","35378041","1.255404760","284245","MATCH_ODDS","0","BACK","Ohio State v TCU","Moneyline","2026-03-19 16:15:00"
"sentrybot","35367130","1.255225584","482032","MATCH_ODDS","0","BACK","Konyaspor v Genclerbirligi","Match Odds","2026-03-19 17:00:00"
"sentrybot","35371702","1.255291873","1221385","FIRST_HALF_GOALS","0","BACK","Sparta Prague v AZ Alkmaar","First Half Goals 1.5","2026-03-19 20:00:00"
"sentrybot","35385278","1.255473995","238549","MATCH_ODDS","0","BACK","Oleksandria v Dynamo Kyiv","Match Odds","2026-03-19 11:00:00"
"sentrybot","35366709","1.255214911","56967","MATCH_ODDS","0","BACK","Roma v Bologna","Match Odds","2026-03-19 20:00:00"
"sentrybot","35367123","1.255225255","232068","MATCH_ODDS","0","BACK","Besiktas v Kasimpasa","Match Odds","2026-03-19 17:00:00"
"sentrybot","35383332","1.255532638","237486","MATCH_ODDS","0","BACK","Miami Heat v Los Angeles Lakers","Moneyline","2026-03-20 00:00:00"
"sentrybot","35366687","1.255215001","50334","MATCH_ODDS","0","BACK","Real Betis v Panathinaikos","Match Odds","2026-03-19 20:00:00"
"sentrybot","35366922","1.255218814","908335","ASIAN_HANDICAP","0","BACK","AEK Larnaca v Crystal Palace","Asian Handicap","2026-03-19 17:45:00"
"sentrybot","35383328","1.255528292","237474","MATCH_ODDS","0","BACK","Washington Wizards v Detroit Pistons","Moneyline","2026-03-19 23:00:00"
"sentrybot","35366750","1.255215490","10779","ASIAN_HANDICAP","0","BACK","Rayo Vallecano v Samsunspor","Asian Handicap","2026-03-19 20:00:00"
"sentrybot","35366722","1.255215600","502303","ASIAN_HANDICAP","0","BACK","Shakhtar Donetsk v Lech Poznan","Asian Handicap","2026-03-19 20:00:00"
"sentrybot","35366677","1.255215091","44790","MATCH_ODDS","0","BACK","Aston Villa v Lille","Match Odds","2026-03-19 20:00:00"
"sentrybot","35366896","1.255217523","44520","MATCH_ODDS","0","BACK","Freiburg v Genk","Match Odds","2026-03-19 17:45:00"
"sentrybot","35380197","1.255515063","226870","ASIAN_HANDICAP","0","BACK","Columbus Blue Jackets v New York Rangers","Handicap","2026-03-19 23:00:00"
"sentrybot","35366891","1.255217823","64374","MATCH_ODDS","0","BACK","Mainz 05 v Sigma Olomouc","Match Odds","2026-03-19 17:45:00"
"sentrybot","35383332","1.255532494","5368712","ASIAN_HANDICAP","0","BACK","Miami Heat v Los Angeles Lakers","Handicap","2026-03-20 00:00:00"
"sentrybot","35386272","1.255504684","715476","MATCH_ODDS","0","BACK","BYU v Texas","Moneyline","2026-03-19 23:25:00"
"sentrybot","35380193","1.255515346","25594","MATCH_ODDS","0","BACK","Nashville Predators v Seattle Kraken","Moneyline","2026-03-20 00:00:00"
"sentrybot","35373687","1.255327824","63566864","MATCH_ODDS","0","BACK","Olympiakos BC v Baskonia Vitoria Gasteiz","Moneyline","2026-03-19 19:15:00"
"sentrybot","35366750","1.255215440","113124","MATCH_ODDS","0","BACK","Rayo Vallecano v Samsunspor","Match Odds","2026-03-19 20:00:00"
"sentrybot","35380194","1.255515278","25591","ASIAN_HANDICAP","0","BACK","Minnesota Wild v Chicago Blackhawks","Handicap","2026-03-19 23:30:00"
"sentrybot","35366922","1.255218769","5851482","FIRST_HALF_GOALS","0","BACK","AEK Larnaca v Crystal Palace","First Half Goals 0.5","2026-03-19 17:45:00"
"sentrybot","35380196","1.255515239","25596","MATCH_ODDS","0","BACK","Boston Bruins v Winnipeg Jets","Moneyline","2026-03-19 23:00:00"
"sentrybot","35380189","1.255514806","13305501","MATCH_ODDS","0","BACK","Vegas Golden Knights v Utah Mammoth","Moneyline","2026-03-20 02:00:00"
"sentrybot","35366891","1.255217780","50337","ASIAN_HANDICAP","0","BACK","Mainz 05 v Sigma Olomouc","Asian Handicap","2026-03-19 17:45:00"
"sentrybot","35366889","1.255216949","66483","ASIAN_HANDICAP","0","BACK","Lyon v Celta Vigo","Asian Handicap","2026-03-19 17:45:00"
"sentrybot","35380192","1.255514614","25603","MATCH_ODDS","0","BACK","Edmonton Oilers v Florida Panthers","Moneyline","2026-03-20 01:00:00"
"sentrybot","35366890","1.255216658","28220","MATCH_ODDS","0","BACK","Midtjylland v Nottingham Forest","Match Odds","2026-03-19 17:45:00"
"sentrybot","35366889","1.255216900","66483","MATCH_ODDS","0","BACK","Lyon v Celta Vigo","Match Odds","2026-03-19 17:45:00"
"sentrybot","35372953","1.255307967","422179","MATCH_ODDS","0","BACK","Accrington Stanley v Chesterfield","Match Odds","2026-03-21 15:00:00"
"sentrybot","35373148","1.255312270","48444","MATCH_ODDS","0","BACK","Burton Albion v Bradford City","Match Odds","2026-03-21 15:00:00"
"sentrybot","35387622","1.255506483","2145880","ASIAN_HANDICAP","0","BACK","Kings Lynn Town v Curzon Ashton","Asian Handicap","2026-03-21 15:00:00"
"sentrybot","35380055","1.255414950","309089","MATCH_ODDS","0","BACK","Racing Santander v Albacete","Match Odds","2026-03-21 15:15:00"
